"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3289277";"";"None";"428.41";"0";"2.41";"4k";"C=CCn1c(=O)/c(=C\c2ccccc2C(F)(F)F)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"6500.0";"nM";"5.19";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294667";"Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL387";"MCF7";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308403";"";""
"CHEMBL3289278";"";"None";"390.44";"0";"1.40";"4l";"C=CCn1c(=O)/c(=C\c2ccccc2OC)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"41100.0";"nM";"4.39";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294667";"Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL387";"MCF7";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308403";"";""
"CHEMBL190207";"";"None";"276.34";"0";"0.96";"3, cyclo(L-Tyr-L-Leu)";"CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O";"FC";"'='";"1.82";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2025506";"Induction of IFN-gamma secretion in mouse J774A1 cells at 5 ug/mL after 48 hrs by ELISA relative to control";"F";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"J774.A1";"None";"";"";"";"CHEMBL614040";"J774.A1";"Mus musculus";"CELL-LINE";"CHEMBL2021871";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307516";"";""
"CHEMBL190207";"";"None";"276.34";"0";"0.96";"3, cyclo(L-Tyr-L-Leu)";"CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL2025508";"Induction of TNF-alpha secretion in mouse J774A1 cells at 5 ug/mL after 48 hrs by ELISA relative to control";"F";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"J774.A1";"None";"";"";"";"CHEMBL614040";"J774.A1";"Mus musculus";"CELL-LINE";"CHEMBL2021871";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307516";"";""
"CHEMBL2024102";"";"None";"366.42";"0";"0.75";"17";"COc1ccccc1/C=c1\[nH]c(=O)/c(=C/c2nc[nH]c2C(C)(C)C)[nH]c1=O";"IC50";"'='";"75.5";"nM";"7.12";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2026543";"Cytotoxicity against human HT-29 cells after 48 hrs using resazurin by microplate fluorometer analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL2021797";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307768";"";""
"CHEMBL2024534";"";"None";"396.45";"0";"0.76";"23";"COc1cccc(OC)c1/C=c1\[nH]c(=O)/c(=C/c2nc[nH]c2C(C)(C)C)[nH]c1=O";"IC50";"'='";"5170.0";"nM";"5.29";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2026543";"Cytotoxicity against human HT-29 cells after 48 hrs using resazurin by microplate fluorometer analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL2021797";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307768";"";""
"CHEMBL190207";"";"None";"276.34";"0";"0.96";"3, cyclo(L-Tyr-L-Leu)";"CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL2025505";"Induction of IL10 secretion in mouse J774A1 cells at 5 ug/mL after 48 hrs by ELISA relative to control";"F";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"J774.A1";"None";"";"";"";"CHEMBL614040";"J774.A1";"Mus musculus";"CELL-LINE";"CHEMBL2021871";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3307516";"";""
"CHEMBL4227131";"";"None";"447.52";"0";"1.43";"13f";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3cncs3)c2)[nH]c1=O";"IC50";"'='";"17.11";"nM";"7.77";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4222806";"Antiproliferative activity against human BxPC3 cells after 72 hrs by sulforhodamine B assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BXPC-3";"None";"";"";"";"CHEMBL614530";"BXPC-3";"Homo sapiens";"CELL-LINE";"CHEMBL4219170";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"CHEMBL3307637";"";""
"CHEMBL319291";"";"None";"350.42";"0";"2.07";"(-)-Phenylahistin";"C=CC(C)(C)c1[nH]cnc1/C=C1\NC(=O)[C@H](Cc2ccccc2)NC1=O";"IC50";"'='";"350.0";"nM";"6.46";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL757907";"Inhibitory concentration required for cytotoxic effect against P388 murine leukemia cells";"F";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"P388";"None";"";"";"";"CHEMBL389";"P388";"Mus musculus";"CELL-LINE";"CHEMBL1152013";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"CHEMBL3308401";"";""
"CHEMBL3289288";"";"None";"389.24";"0";"2.04";"4w";"COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c1=O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294667";"Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL387";"MCF7";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308403";"";""
"CHEMBL3342339";"";"None";"395.42";"0";"1.35";"6b, KPU-300";"O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3ccccn3)[nH]c2=O)c1";"IC50";"'='";"14.2";"nM";"7.85";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3383003";"Cytotoxicity against human A549 cells after 48 hrs by WST8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL392";"A549";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3307651";"";""
"CHEMBL3342339";"";"None";"395.42";"0";"1.35";"6b, KPU-300";"O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3ccccn3)[nH]c2=O)c1";"Ratio IC50";"'='";"3.8";"";"";"";"";"";"";"";"";"";"0";"CHEMBL3383004";"Potency index, ratio of IC50 for Plinabulin to IC50 for test compound against human HeLa cells after 48 hrs by WST8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3308376";"";""
"CHEMBL3342339";"";"None";"395.42";"0";"1.35";"6b, KPU-300";"O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3ccccn3)[nH]c2=O)c1";"Ratio IC50";"'='";"10.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL3383008";"Selectivity index, ratio of IC50 for human NHSF46 cells to IC50 for human HT-29 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3307768";"";""
"CHEMBL1096380";"PLINABULIN";"3.0";"336.40";"0";"0.74";"1";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3383010";"Inhibition of mitotic spindle formation in human HeLa cells at 20 to 70 nM by DAPI staining";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3308376";"";""
"CHEMBL3342339";"";"None";"395.42";"0";"1.35";"6b, KPU-300";"O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3ccccn3)[nH]c2=O)c1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3383010";"Inhibition of mitotic spindle formation in human HeLa cells at 20 to 70 nM by DAPI staining";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3308376";"";""
"CHEMBL3342339";"";"None";"395.42";"0";"1.35";"6b, KPU-300";"O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3ccccn3)[nH]c2=O)c1";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL3383012";"Induction of multipolar spindle formation in human HeLa cells at 7 nM by DAPI staining";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3308376";"";""
"CHEMBL3289281";"";"None";"457.30";"0";"2.29";"4o";"C=CCn1c(=O)/c(=C\c2cc(Br)ccc2F)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"4700.0";"nM";"5.33";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294672";"Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U-937";"None";"";"";"";"CHEMBL612794";"U-937";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308006";"";""
"CHEMBL4063810";"";"None";"337.40";"0";"0.74";"9";"[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"IC50";"'='";"33.2";"nM";"7.48";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3999789";"Cytotoxicity against human NCI-H460 cells assessed as decrease in cell viability after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H460";"None";"";"";"";"CHEMBL396";"NCI-H460";"Homo sapiens";"CELL-LINE";"CHEMBL3997832";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"CHEMBL3307677";"";""
"CHEMBL4063810";"";"None";"337.40";"0";"0.74";"9";"[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"TGI";"'='";"48.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3999794";"Antitumor activity against human NCI-H460 cells xenografted in nude mouse assessed as tumor growth inhibition at 12 mg/kg, iv administered every 2 days for 21 days relative to vehicle-treated control";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"NCI-H460";"None";"";"";"";"CHEMBL396";"NCI-H460";"Homo sapiens";"CELL-LINE";"CHEMBL3997832";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"CHEMBL3307677";"";""
"CHEMBL3289267";"";"None";"399.28";"0";"2.69";"4a";"C=CCn1c(=O)/c(=C\c2ccc(Cl)c(Cl)c2)[nH]c(=O)/c1=C\c1ccccc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294670";"Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"K562";"None";"";"";"";"CHEMBL385";"K562";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308378";"";""
"CHEMBL3289269";"";"None";"488.18";"0";"2.91";"4c";"C=CCn1c(=O)/c(=C\c2cccc(Br)c2)[nH]c(=O)/c1=C\c1cccc(Br)c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294670";"Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"K562";"None";"";"";"";"CHEMBL385";"K562";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3308378";"";""
"CHEMBL3289273";"";"None";"378.40";"0";"1.53";"4g";"C=CCn1c(=O)/c(=C\c2cccc(F)c2)[nH]c(=O)/c1=C\c1ccccc1OC";"IC50";"'='";"19700.0";"nM";"4.71";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3294668";"Cytotoxicity against human A549 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL392";"A549";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307651";"";""
"CHEMBL4063810";"";"None";"337.40";"0";"0.74";"9";"[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"IC50";"'='";"4.3";"nM";"8.37";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3999791";"Cytotoxicity against human Jurkat cells assessed as decrease in cell viability after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Jurkat";"None";"";"";"";"CHEMBL397";"Jurkat";"Homo sapiens";"CELL-LINE";"CHEMBL3997832";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"CHEMBL3307526";"";""
"CHEMBL126124";"";"None";"294.35";"0";"1.46";"19";"O=C1N[C@@H](Cc2ccccc2)C(=O)N[C@H]1Cc1ccccc1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1177615";"Cytotoxicity against human HCT116 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HCT-116";"None";"";"";"";"CHEMBL394";"HCT-116";"Homo sapiens";"CELL-LINE";"CHEMBL1177738";"1";"Scientific Literature";"J Nat Prod";"2010";"CHEMBL3308372";"";""
"CHEMBL3342340";"";"None";"395.42";"0";"1.35";"6c";"O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3cccnc3)[nH]c2=O)c1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3382999";"Cytotoxicity against human HT-29 cells after 48 hrs by XTT/PMS assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3307768";"";""
"CHEMBL4063810";"";"None";"337.40";"0";"0.74";"MBRI-001";"[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O";"Inhibition";"'='";"60.5";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4236185";"Antitumor activity against human NCI-H460 cells xenografted in nude mouse assessed as inhibition of tumor weight at 6 mg/kg, iv administered once in every 2 days for 14 consecutive days cotreated with 50 mg/kg gefitinib once daily for 14 consecutive days relative to control";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"NCI-H460";"None";"";"";"";"CHEMBL396";"NCI-H460";"Homo sapiens";"CELL-LINE";"CHEMBL4229536";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"CHEMBL3307677";"";""
"CHEMBL4226910";"";"None";"441.49";"0";"1.37";"13a";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccccn3)c2)[nH]c1=O";"IC50";"'='";"7.58";"nM";"8.12";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4222806";"Antiproliferative activity against human BxPC3 cells after 72 hrs by sulforhodamine B assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BXPC-3";"None";"";"";"";"CHEMBL614530";"BXPC-3";"Homo sapiens";"CELL-LINE";"CHEMBL4219170";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"CHEMBL3307637";"";""
"CHEMBL4228688";"";"None";"419.49";"0";"0.59";"9a";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)N3CCC3)c2)[nH]c1=O";"IC50";"'>'";"500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4222806";"Antiproliferative activity against human BxPC3 cells after 72 hrs by sulforhodamine B assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BXPC-3";"None";"";"";"";"CHEMBL614530";"BXPC-3";"Homo sapiens";"CELL-LINE";"CHEMBL4219170";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"CHEMBL3307637";"";""
"CHEMBL2024561";"";"None";"440.50";"0";"1.97";"4, KPU-105";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccccc3)c2)[nH]c1=O";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2051663";"Antimitotic activity in human HeLa cells assessed as disruption of interphase microtubule network at 3 nM after 6 hrs by DAPI staining-based immunofluorescence analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL2046436";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3308376";"";""
