,Mol_ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard_Type,Standard Relation,standard_value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target_Name,Target Organism,Target Type,Document_ID,Source ID,Source_Description,Document_Journal,Document_Year,Cell ChEMBL ID,Properties,Action Type
15,CHEMBL2024534,,None,396.45,0,0.76,23,COc1cccc(OC)c1/C=c1\[nH]c(=O)/c(=C/c2nc[nH]c2C(C)(C)C)[nH]c1=O,IC50,'=',5170.0,nM,5.29,,,UO_0000065,,,,,0,CHEMBL2026543,Cytotoxicity against human HT-29 cells after 48 hrs using resazurin by microplate fluorometer analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307768,,
17,CHEMBL4227131,,None,447.52,0,1.43,13f,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3cncs3)c2)[nH]c1=O,IC50,'=',17.11,nM,7.77,,,UO_0000065,,,,,0,CHEMBL4222806,Antiproliferative activity against human BxPC3 cells after 72 hrs by sulforhodamine B assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,BXPC-3,None,,,,CHEMBL614530,BXPC-3,Homo sapiens,CELL-LINE,CHEMBL4219170,1,Scientific Literature,Bioorg. Med. Chem.,2018.0,CHEMBL3307637,,
18,CHEMBL319291,,None,350.42,0,2.07,(-)-Phenylahistin,C=CC(C)(C)c1[nH]cnc1/C=C1\NC(=O)[C@H](Cc2ccccc2)NC1=O,IC50,'=',350.0,nM,6.46,,,UO_0000065,,,,,0,CHEMBL757907,Inhibitory concentration required for cytotoxic effect against P388 murine leukemia cells,F,BAO_0000219,cell-based format,Mus musculus,None,None,P388,None,,,,CHEMBL389,P388,Mus musculus,CELL-LINE,CHEMBL1152013,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1997.0,CHEMBL3308401,,
19,CHEMBL3289288,,None,389.24,0,2.04,4w,COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c1=O,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294667,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308403,,
20,CHEMBL3342339,,None,395.42,0,1.35,"6b, KPU-300",O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3ccccn3)[nH]c2=O)c1,IC50,'=',14.2,nM,7.85,,,UO_0000065,,,,,0,CHEMBL3383003,Cytotoxicity against human A549 cells after 48 hrs by WST8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL392,A549,Homo sapiens,CELL-LINE,CHEMBL3352421,1,Scientific Literature,ACS Med Chem Lett,2014.0,CHEMBL3307651,,
26,CHEMBL3289281,,None,457.3,0,2.29,4o,C=CCn1c(=O)/c(=C\c2cc(Br)ccc2F)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',4700.0,nM,5.33,,,UO_0000065,,,,,0,CHEMBL3294672,Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,,,,CHEMBL612794,U-937,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308006,,
27,CHEMBL4063810,,None,337.4,0,0.74,9,[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',33.2,nM,7.48,,,UO_0000065,,,,,0,CHEMBL3999789,Cytotoxicity against human NCI-H460 cells assessed as decrease in cell viability after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,NCI-H460,None,,,,CHEMBL396,NCI-H460,Homo sapiens,CELL-LINE,CHEMBL3997832,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2017.0,CHEMBL3307677,,
29,CHEMBL3289267,,None,399.28,0,2.69,4a,C=CCn1c(=O)/c(=C\c2ccc(Cl)c(Cl)c2)[nH]c(=O)/c1=C\c1ccccc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294670,Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308378,,
30,CHEMBL3289269,,None,488.18,0,2.91,4c,C=CCn1c(=O)/c(=C\c2cccc(Br)c2)[nH]c(=O)/c1=C\c1cccc(Br)c1,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294670,Cytotoxicity against human K562 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308378,,
31,CHEMBL3289273,,None,378.4,0,1.53,4g,C=CCn1c(=O)/c(=C\c2cccc(F)c2)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',19700.0,nM,4.71,,,UO_0000065,,,,,0,CHEMBL3294668,Cytotoxicity against human A549 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL392,A549,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307651,,
32,CHEMBL4063810,,None,337.4,0,0.74,9,[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',4.3,nM,8.37,,,UO_0000065,,,,,0,CHEMBL3999791,Cytotoxicity against human Jurkat cells assessed as decrease in cell viability after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL397,Jurkat,Homo sapiens,CELL-LINE,CHEMBL3997832,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2017.0,CHEMBL3307526,,
34,CHEMBL3342340,,None,395.42,0,1.35,6c,O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3cccnc3)[nH]c2=O)c1,IC50,'>',1000.0,nM,,,,UO_0000065,,,,,0,CHEMBL3382999,Cytotoxicity against human HT-29 cells after 48 hrs by XTT/PMS assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL3352421,1,Scientific Literature,ACS Med Chem Lett,2014.0,CHEMBL3307768,,
36,CHEMBL4226910,,None,441.49,0,1.37,13a,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccccn3)c2)[nH]c1=O,IC50,'=',7.58,nM,8.12,,,UO_0000065,,,,,0,CHEMBL4222806,Antiproliferative activity against human BxPC3 cells after 72 hrs by sulforhodamine B assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,BXPC-3,None,,,,CHEMBL614530,BXPC-3,Homo sapiens,CELL-LINE,CHEMBL4219170,1,Scientific Literature,Bioorg. Med. Chem.,2018.0,CHEMBL3307637,,
37,CHEMBL4228688,,None,419.49,0,0.59,9a,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)N3CCC3)c2)[nH]c1=O,IC50,'>',500.0,nM,,,,UO_0000065,,,,,0,CHEMBL4222806,Antiproliferative activity against human BxPC3 cells after 72 hrs by sulforhodamine B assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,BXPC-3,None,,,,CHEMBL614530,BXPC-3,Homo sapiens,CELL-LINE,CHEMBL4219170,1,Scientific Literature,Bioorg. Med. Chem.,2018.0,CHEMBL3307637,,
40,CHEMBL1096380,PLINABULIN,3.0,336.4,0,0.74,"1, NPI-2358, KPU-2",CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',13.5,nM,7.87,,,UO_0000065,,,,,0,CHEMBL1646632,Cytotoxicity against human HT-29 cells after 72 hrs by XTT/PMS method,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL1641522,1,Scientific Literature,Bioorg. Med. Chem.,2011.0,CHEMBL3307768,,
42,CHEMBL4639978,,None,390.37,0,1.38,17e,O=c1[nH]/c(=C\c2ncc[nH]2)c(=O)[nH]/c1=C\c1cccc(Oc2ccc(F)cc2)c1,IC50,'>',1000.0,nM,,,,UO_0000065,,,,,0,CHEMBL4629251,Cytotoxicity against human NCI-H460 cells assessed as reduction in cell viability after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,NCI-H460,None,,,,CHEMBL396,NCI-H460,Homo sapiens,CELL-LINE,CHEMBL4627367,1,Scientific Literature,Bioorg. Med. Chem.,2020.0,CHEMBL3307677,,
43,CHEMBL4643083,,None,446.43,0,1.83,17p,COCc1ccc(/C=c2\[nH]c(=O)/c(=C/c3cccc(C(=O)c4ccc(F)cc4)c3)[nH]c2=O)o1,IC50,'=',2.9,nM,8.54,,,UO_0000065,,,,,0,CHEMBL4629251,Cytotoxicity against human NCI-H460 cells assessed as reduction in cell viability after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,NCI-H460,None,,,,CHEMBL396,NCI-H460,Homo sapiens,CELL-LINE,CHEMBL4627367,1,Scientific Literature,Bioorg. Med. Chem.,2020.0,CHEMBL3307677,,
44,CHEMBL4636627,,None,432.46,0,2.5,14a,CC(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(Oc3ccc(F)cc3)c2)[nH]c1=O,IC50,'=',3.4,nM,8.47,,,UO_0000065,,,,,0,CHEMBL4629252,Cytotoxicity against human BxPC3 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,BXPC-3,None,,,,CHEMBL614530,BXPC-3,Homo sapiens,CELL-LINE,CHEMBL4627367,1,Scientific Literature,Bioorg. Med. Chem.,2020.0,CHEMBL3307637,,
45,CHEMBL4226762,,None,441.49,0,1.37,13b,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3cccnc3)c2)[nH]c1=O,IC50,'=',4.05,nM,8.39,,,UO_0000065,,,,,0,CHEMBL4222806,Antiproliferative activity against human BxPC3 cells after 72 hrs by sulforhodamine B assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,BXPC-3,None,,,,CHEMBL614530,BXPC-3,Homo sapiens,CELL-LINE,CHEMBL4219170,1,Scientific Literature,Bioorg. Med. Chem.,2018.0,CHEMBL3307637,,
46,CHEMBL2031706,,None,367.49,0,3.25,3b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](CC(C)C)NC1=O,IC50,'=',92600.0,nM,4.03,,,UO_0000065,,,,,0,CHEMBL2032598,Cytotoxicity against human cisplatin sensitive A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308421,,
47,CHEMBL2031714,,None,391.48,0,2.17,14b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,IC50,'=',91700.0,nM,4.04,,,UO_0000065,,,,,0,CHEMBL2032599,Cytotoxicity against human cisplatin resistant A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308421,,
51,CHEMBL2022198,,None,387.44,0,1.29,"55, KPU-101",CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc3cnccc23)[nH]c1=O,IC50,'=',21.0,nM,7.68,,,UO_0000065,,,,,0,CHEMBL2026543,Cytotoxicity against human HT-29 cells after 48 hrs using resazurin by microplate fluorometer analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307768,,
56,CHEMBL1096380,PLINABULIN,3.0,336.4,0,0.74,"11, KPU-2/NPI-2358, Plinabulin",CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',11.0,nM,7.96,,,UO_0000065,,,,,0,CHEMBL2027127,Cytotoxicity against HUVEC after 48 hrs using resazurin by microplate fluorometer analysis,A,BAO_0000219,cell-based format,Homo sapiens,None,None,HUVEC,None,,,,CHEMBL613979,HUVEC,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307501,,
57,CHEMBL2024544,,None,372.38,0,1.02,"33, KPU-89",CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cc(F)ccc2F)[nH]c1=O,IC50,'=',1.5,nM,8.82,,,UO_0000065,,,,,0,CHEMBL2027127,Cytotoxicity against HUVEC after 48 hrs using resazurin by microplate fluorometer analysis,A,BAO_0000219,cell-based format,Homo sapiens,None,None,HUVEC,None,,,,CHEMBL613979,HUVEC,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307501,,
58,CHEMBL2024561,,None,440.5,0,1.97,"50, KPU-105",CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccccc3)c2)[nH]c1=O,IC50,'=',0.5,nM,9.3,,,UO_0000065,,,,,0,CHEMBL2027127,Cytotoxicity against HUVEC after 48 hrs using resazurin by microplate fluorometer analysis,A,BAO_0000219,cell-based format,Homo sapiens,None,None,HUVEC,None,,,,CHEMBL613979,HUVEC,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307501,,
60,CHEMBL2031707,,None,440.55,0,3.93,4b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,IC50,'=',29800.0,nM,4.53,,,UO_0000065,,,,,0,CHEMBL2032597,Cytotoxicity against human K562 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308378,,
61,CHEMBL3289289,,None,366.42,0,0.75,4x,COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2nc[nH]c2C(C)(C)C)[nH]c1=O,IC50,'=',80.0,nM,7.1,,,UO_0000065,,,,,0,CHEMBL3294665,Cytotoxicity against human HeLa cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308376,,
62,CHEMBL3289268,,None,420.47,0,1.41,4b,C=CCn1c(=O)/c(=C\c2cc(OC)c(OC)c(OC)c2)[nH]c(=O)/c1=C\c1ccccc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294667,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308403,,
63,CHEMBL3289276,,None,378.4,0,1.53,4j,C=CCn1c(=O)/c(=C\c2ccccc2F)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',23000.0,nM,4.64,,,UO_0000065,,,,,0,CHEMBL3294667,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308403,,
64,CHEMBL1096380,PLINABULIN,3.0,336.4,0,0.74,Plinabulin,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,IC50,'=',10.0,nM,8.0,,,UO_0000065,,,,,0,CHEMBL3294667,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308403,,
65,CHEMBL3289269,,None,488.18,0,2.91,4c,C=CCn1c(=O)/c(=C\c2cccc(Br)c2)[nH]c(=O)/c1=C\c1cccc(Br)c1,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294430,Cytotoxicity against human NCI-H1975 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,NCI-H1975,None,,,,CHEMBL614348,NCI-H1975,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307601,,
66,CHEMBL3289272,,None,394.86,0,2.04,4f,C=CCn1c(=O)/c(=C\c2cccc(Cl)c2)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',5100.0,nM,5.29,,,UO_0000065,,,,,0,CHEMBL3294430,Cytotoxicity against human NCI-H1975 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,NCI-H1975,None,,,,CHEMBL614348,NCI-H1975,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307601,,
71,CHEMBL3289288,,None,389.24,0,2.04,4w,COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c1=O,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294672,Cytotoxicity against human U937 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,U-937,None,,,,CHEMBL612794,U-937,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308006,,
72,CHEMBL3289279,,None,429.3,0,2.7,4m,C=CCn1c(=O)/c(=C\c2cccc(Cl)c2Cl)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',1600.0,nM,5.8,,,UO_0000065,,,,,0,CHEMBL3294665,Cytotoxicity against human HeLa cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308376,,
73,CHEMBL3289281,,None,457.3,0,2.29,4o,C=CCn1c(=O)/c(=C\c2cc(Br)ccc2F)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',34600.0,nM,4.46,,,UO_0000065,,,,,0,CHEMBL3294665,Cytotoxicity against human HeLa cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL399,HeLa,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308376,,
